,Hindi Words,Max Similarity,Similarity
88,गारो,0.75,दारोगा
182,निर्माणजो,0.75,नवनिर्माण
177,श्वेतकण,0.7140000000000001,श्वेतकेतु
155,नके,0.667,सुनके
94,कहानियां,0.615,चलनियां
22,ऐसाही,0.5710000000000001,जाही
52,अन्ध,0.5710000000000001,अन्दर
92,सिद्धता,0.5329999999999999,सुप्रसिद्ध
31,गदम,0.5,नगद
107,ओश्म्,0.5,सम्मे
