,Hindi Words,Max Similarity,Similarity
182,निर्माणजो,0.75,नवनिर्माण
135,पहाड़ियां,0.545,उड़िया
234,मान्यनहीं,0.5329999999999999,मान्यताक
92,सिद्धता,0.5329999999999999,सुप्रसिद्ध
85,कहाआदमी,0.5,आदम
51,शलाकाएँ,0.5,कलाकारस
159,पूरी,0.5,मंजूरी
165,प्रांगण,0.5,प्रसंगक
201,अकाली,0.5,चालीस
255,दांत,0.5,दांवपर
